68,1213,33199,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,None,None,None,None,None
69,364,33063,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,65,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
70,60,33011,softball,balle molle,RItche Ball Diamond,Terrain de balle Ritche,standard,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
71,60,33012,softball,balle molle,Crawford Ball Diamond,Terrain de balle Crawford,baseball,65,60,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
72,484,33082,softball,balle molle,Ball Diamond,Terrain de balle,baseball,60,55,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,None,None,None,None,None
73,916,33145,softball,balle molle,Ball Diamond - Softball,Terrain de balle - Balle molle,baseball,85,80,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
74,1174,33190,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
75,732,33121,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
76,389,33069,baseball,baseball,Carl Faulkner Ball Diamond,Terrain de balle Carl-Faulkner,baseball,85,80,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,None,None
77,1531,33232,softball,balle molle,Ball Diamond,Terrain de balle,standard,40,40,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,2016-07-26 9:23,None
78,459,3834,softball,balle molle,Ball Diamond,Terrain de balle,baseball,50,65,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
79,613,4007,softball,balle molle,Ball Diamond - Softball,Terrain de balle - Balle molle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
80,273,33043,softball,balle molle,Ball Diamond,Terrain de balle,baseball,82,82,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
81,495,4062,T-Ball,tee ball,Brian Kearns Ball Diamond 02 - T-Ball,Terrain de balle 02 Brian-Kearns - Tee ball,baseball,50,40,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
82,161,3819,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
83,797,33229,softball,balle molle,Hanlon Baseball Diamond,Terrain de baseball Hanlon,standard,83,76,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,26:17.0,None
84,989,33159,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
85,628,33110,baseball,baseball,Baseball East - Eagles Nest 2,Terrain de balle Est - Eagles Nest 2,baseball,65,60,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,None,None,None,2015-04-16 10:00,None
86,49,33007,baseball,baseball,Ball Diamond - Baseball West,Terrain de balle - Baseball Ouest,baseball,80,70,no/non,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
87,403,36000,softball,balle molle,Ball Diamond,Terrain de balle,baseball,73,73,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
88,628,33109,baseball,baseball,Baseball West - Eagles Nest 1,Terrain de balle Ouest - Eagles Nest 1,baseball,65,60,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,None,None,None,2015-04-16 9:59,None
89,343,33060,T-Ball,tee ball,T-Ball,Terrain de tee ball,other,72,69,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
90,460,33081,softball,balle molle,Ball Diamond,Terrain de balle,baseball,74,67,no/non,yes/oui,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
91,1309,33202,softball,balle molle,Ball Diamond,Terrain de balle,baseball,72,68,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
92,1324,33204,T-Ball,tee ball,Ball Diamond,Terrain de balle,other,34,30,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,None,None,None,None,None
93,1157,33181,baseball,baseball,West Baseball Diamond,Terrain de balle Ouest,baseball,115,97,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,None,None
94,1157,33184,softball,balle molle,Mike Channing Softball Diamond,Terrain de balle molle Mike-Channing,baseball,75,63,yes/oui,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
95,1524,33212,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,65,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
96,126,33019,softball,balle molle,Ball Diamond,Terrain de balle,baseball,60,55,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
97,206,8259,softball,balle molle,Frank MacDonald Fastball Diamond,Terrain de balle rapide Frank-MacDonald,baseball,98,88,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,yes/oui,None,None,None,2016-07-26 9:27,None
98,881,3880,softball,balle molle,Ball Diamond,Terrain de balle,baseball,84,74,no/non,yes/oui,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
99,1053,33166,softball,balle molle,Ball Diamond,Terrain de balle,standard,69,67,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,None,None,None,None,None
100,1157,33185,softball,balle molle,West Softball Diamond,Terrain de balle molle Ouest,baseball,75,64,yes/oui,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
101,357,33062,softball,balle molle,Ball Diamond (Youth),Terrain de balle (Jeunes),baseball,70,62,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
102,971,3838,softball,balle molle,Ball Diamond,Terrain de balle,baseball,52,50,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
103,365,33065,T-Ball,tee ball,Ball Diamond 02,Terrain de balle 02,baseball,35,30,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,None,None,None,None,None
104,22,33002,T-Ball,tee ball,Ball Diamond 03 - T-Ball,Terrain de balle 03 - Tee ball,baseball,20,20,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,2016-07-26 9:28,None
105,569,33101,softball,balle molle,Ball Diamond - Softball South West,Terrain de balle - Balle molle Sud-Ouest,baseball,65,60,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
106,420,33074,T-Ball,tee ball,Ball Diamond - T-Ball,Terrain de balle - Tee ball,other,30,30,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,2016-07-26 9:28,None
107,446,33079,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,64,no/non,no/non,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
108,164,33025,softball,balle molle,Ball Diamond,Terrain de balle,baseball,67,60,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
109,877,33141,softball,balle molle,Ball Diamond,Terrain de balle,baseball,55,46,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,2016-07-26 9:29,None
110,558,33099,softball,balle molle,Ball Diamond,Terrain de balle,standard,75,66,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,None,None
